kanji,furigana,meaning,tags,guid,romaji,hanviet
〜 (まる) ごと,〜 (まる) ごと,"whole ~, all of ~",JLPT JLPT_2,Ja%uZn!l8Y,~ (maru) goto,
(かさを～) さす,(かさを～) さす,to open; hold (an umbrella),JLPT JLPT_2 MediaMissing,g~n;/-.8!D,(kasawo~) sasu,
〜(日本) 式,～(にほん) しき,"custom,",JLPT JLPT_2 MediaMissing,no!e4=rwH(,~(nihon) shiki,
～位,～い,~th place,JLPT JLPT_2,G*#PQ&xZe;,~i,VỊ
～いち (にほんいち),～いち (にほんいち),No. 1 ~ (in),JLPT JLPT_2,GmGAkPKtVr,~ichi (nihon'ichi),
～園,～えん,~ garden (especially man made),JLPT JLPT_2,z)[Ulzmb?X,~en,VIÊN
～おしまい (おわり),～おしまい (おわり),end up ~,JLPT JLPT_2,B07i&;klYX,~oshimai (owari),
～日,～か,counter for days,JLPT JLPT_2,rDuT4FxT)r,~ka,NHẬT
～下,～か,under ~,JLPT JLPT_2,fbg-jA#f{K,~ka,HẠ
～化,～か,action of making something,JLPT JLPT_2,jA{o6okAW~,~ka,HÓA
～科,～か,"family, group, course",JLPT JLPT_2,G*u5fLwYB~,~ka,KHOA
～歌,～か,song of ~,JLPT JLPT_2,b!q>|EX?]V,~ka,CA
～画,～が,"picture, painting",JLPT_1 JLPT JLPT_2,A:x.SahEv8,~ga,HỌA
～外,～がい,out of ~,JLPT JLPT_2,v.D6N)Jn-M,~gai,NGOẠI
～難い,～がたい,hard (difficult) to do ~,JLPT_1 JLPT JLPT_2,q5_^x`K^C~,~gatai,NAN
～がち,～がち,tend to do ~,JLPT JLPT_2,"HC!2|,O=Uv",~gachi,
～刊,～かん,"~ issued (magazine, newspaper)",JLPT JLPT_2,J]XIoil*2L,~kan,KHAN
～間,～かん,"between, during",JLPT JLPT_2,Qm1qWlocEP,~kan,GIAN
～巻,～かん,volume,JLPT JLPT_2,K19uzsMb_o,~kan,QUYỂN
～館,～かん,"~ hall, ~ building",JLPT JLPT_2,c3uPE$j0G@,~kan,QUÁN
～感,～かん,"feeling, sense, impression",JLPT JLPT_2,gv?{M:3Nl+,~kan,CẢM
～期,～き,"~age, ~period",JLPT JLPT_2,kCfW%K6Q|D,~ki,KÌ
～器,～き,"device, equipment",JLPT JLPT_2,u+~Y!_LNSC,~ki,KHÍ
～機,～き,machine,JLPT JLPT_2,k3|o@N56?1,~ki,CƠ
～気味,～ぎみ,slightly ~,JLPT JLPT_2,H[Vo.[BxaR,~gimi,KHÍ VỊ
～教,～きょう,religion,JLPT JLPT_2,"vbb{{,/z36",~kyou,
～行,～ぎょう,"line, row",JLPT JLPT_2,E5TA@2@XRb,~gyou,HÀNH
～業,～ぎょう,type of business,JLPT JLPT_2,r#B%nh/j8;,~gyou,NGHIỆP
～きる,～きる,"nevertheless, to carry through",JLPT JLPT_2,lY)YcCGPox,~kiru,
～切れ,～きれ,out of ~,JLPT JLPT_2,BI!R8>v)8r,~kire,THIẾT
～口,～くち,"~ opening; ~ entrance, ~ exit",JLPT JLPT_2,pT(<V!lc5R,~kuchi,KHẨU
～家,～け,"~'s family, the house of ~",JLPT JLPT_2,OVLMa7l[Gn,~ke,GIA
～形,～けい,shape of ~,JLPT JLPT_2,M3p*&+Wj>%,~kei,HÌNH
～系,～けい,"~ system, ~ lineage, ~ group",JLPT_1 JLPT JLPT_2,AgNe/GkjZM,~kei,HỆ
～圏,～けん,"bloc, sphere, area",JLPT_1 JLPT JLPT_2,Ddk.oC`&.J,~ken,QUYỂN
～校,～こう,counter for school,JLPT JLPT_2,m]41H0.3l-,~kou,GIÁO
