kanji,furigana,meaning,tags,guid,romaji
踏む,ふむ,"to step on, to tread on",JLPT JLPT_N4,MD)?c2/f%j,fumu
～区,～く,"~ district, ~ ward, ~ borough",JLPT JLPT_N4,jyNlO!<_rh,~ku
すっと,すっと,"straight, quickly",JLPT JLPT_N4,k|7>>bJ_;p,sutto
盗む,ぬすむ,to steal; to rob,Genki Genki_Ln.21 JLPT JLPT_N4,yRRr.o{S!G,nusumu
大抵,たいてい,"generally, usually",Genki Genki_Ln.3 JLPT JLPT_N4,F4RWhn9KV7,taitei
とうとう,とうとう,"finally, at last",JLPT JLPT_N4,b~a!BAlss],toutou
ガソリン,ガソリン,"gasoline, petrol",Genki Genki_Ln.21 JLPT JLPT_N4,DtjnF2f-}S,gasorin
鳴る,なる,"to sound, to ring (v.i.)",Intermediate_Japanese_Ln.2 JLPT JLPT_N4,N2XM.u#*9T,naru
しっかり,しっかり,"firmly, steady",JLPT JLPT_N4,s1@<ogH]|l,shikkari
生きる,いきる,to live,JLPT JLPT_N4,PsYPR<^eS},ikiru
苦い,にがい,bitter,JLPT JLPT_N4,s7onh_qmu>,nigai
沸く,わく,"to boil, to grow hot",JLPT JLPT_N4,PG:x_[8:n{,waku
意見,いけん,"opinion, view, idea",JLPT JLPT_N4,rm|oi`$1Dg,iken
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely",JLPT JLPT_N4,uKv@@b~bnv,yahari; yappari
漫画,まんが,"comic (book), cartoon",Genki Genki_Ln.14 JLPT JLPT_N4,l|R^YmR+|c,manga
ステレオ,ステレオ,stereo,JLPT JLPT_N4,j)<hxBenH^,sutereo
医学,いがく,medical science,JLPT JLPT_N4,j>$AcgpmMe,igaku
テキスト,テキスト,text; text book,JLPT JLPT_N4,tNueVeWq/i,tekisuto
～月,～つき,month,JLPT JLPT_N4,fmd>SOFFek,~tsuki
折る,おる,"to snap, to break; to bend",JLPT JLPT_N4,yVVu7>5}8_,oru
～会,～かい,~ meeting,JLPT JLPT_N4,q`5&BgJq(Y,~kai
うかがう,うかがう,to ask,JLPT JLPT_N4,i(<6VU5W9O,ukagau
聞こえる,きこえる,"to be heard, to be audible",JLPT JLPT_N4,quf~I<>p>,kikoeru
僕,ぼく,I (used by men towards those of equal or lower status),Genki Genki_Ln.5 JLPT JLPT_N4,sZrMWgN[D[,boku
必ず,かならず,"surely, certainly",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t=>{J>bIy^,kanarazu
壊す,こわす,"to break, to break down",JLPT JLPT_N4,d^9}5OH`;*,kowasu
怒る,おこる,to get angry; to scold angrily,Genki Genki_Ln.19 JLPT JLPT_N4,Ib^RmCfT#f,okoru
