kanji,furigana,romaji,meaning
,ああ,ah,Ah!
会う,あう,au,tomeet
青い,あおい,aoi,blue
赤い,あかい,akai,red
明るい,あかるい,akarui,"light,bright"
秋,あき,aki,"autumn,fall"
開く,あく,aku,open
開ける,あける,akeru,toopen
,あげる,ageru,togive
朝,あさ,asa,morning
朝ご飯,あさごはん,asagohan,breakfast
あさって,あさって,asatte,thedayaftertomorrow
足,あし,ashi,"leg,foot"
明日,あした,ashita,tomorrow
あそこ,あそこ,asoko,overthere
遊ぶ,あそぶ,asobu,toplay
温かい,あたたかい,atatakai,warm
頭,あたま,atama,head
新しい,あたらしい,atarashii,new
あちら,あちら,achira,overthere(polite)
暑い,あつい,atsui,hot(air)
厚い,あつい,atsui,thick
後,あと,ato,"later,after"
貴方,あなた,anata,you
兄,あに,ani,olderbrother
姉,あね,ane,oldersister
あの,あの,ano,that(overthere)
あの,あの,ano,"well,then"
アパート,アパート,apaato,apartment
浴びる,あびる,abiru,totakeashower
危ない,あぶない,abunai,dangerous
甘い,あまい,amai,sweet
あまり,あまり,amari,notso
雨,あめ,ame,rain
洗う,あらう,arau,towash
有る,ある,aru,"tobe,toexist"
ある,ある,aru,topossess
歩く,あるく,aruku,towalk
あれ,あれ,are,thatone
良い,いい,/,"よいii,yoigood"
いいえ,いいえ,iie,no
言う,いう,iu,"tosay,totell"
家,いえ,ie,"house,home"
行く,いく,iku,togo
いくつ,いくつ,ikutsu,"howmany,howold"
いくら,いくら,ikura,howmuch
池,いけ,ike,pond
医者,いしゃ,isha,doctor
椅子,いす,isu,chair
忙しい,いそがしい,isogashii,tobebusy
痛い,いたい,itai,tobepainful
一,いち,ichi,one
一日,いちにち,ichinichi,oneday
一番,いちばん,ichiban,"No.1,thebest,thefirst"
いつ,いつ,itsu,when
五日,いつか,itsuka,"the5thdayofthemonth,5days"
一緒,いっしょ,issho,together
五つ,いつつ,itsutsu,five
いつも,いつも,itsumo,always
今,いま,ima,now
意味,いみ,imi,meaning
妹,いもうと,imouto,someone’syoungersister
いや,いや,iya,"notlikable,unpleasant"
入口,いりぐち,iriguchi,entrance
,いる,iru,"need,musthave,berequired"
,いる,iru,toexist
入れる,いれる,ireru,"toinsert,toputin"
色,いろ,iro,color
色々,いろいろ,iroiro,various
上,うえ,ue,"top,on,above"
後ろ,うしろ,ushiro,"back,rear,behind"
薄い,うすい,usui,thin
歌,うた,uta,song
歌う,うたう,utau,tosing
内,うち,uchi,home
生まれる,うまれる,umareru,tobeborn
海,うみ,umi,sea
売る,うる,uru,tosell
上着,うわぎ,uwagi,"coat,jacket"
絵,え,e,picture
映画,えいが,eiga,movie
映画館,えいがかん,eigakan,cinema
英語,えいご,eigo,Englishlanguage
ええ,ええ,ee,"Yes,Isee"
駅,えき,eki,station
エレベータ,エレベータ,erebeeta,elevator
円,えん,en,Yen
鉛筆,えんぴつ,enpitsu,pencil
御,お,o,honorificprefix
美味しい,おいしい,oishii,"tasty,delicious"
大きい,おおきい,ookii,big
,おおぜい,oozei,manypeople
