kanji,furigana,meaning,romaji,hanviet
事務所,じむしょ,office,jimusho,SỰ VỤ SỞ
～家,～か,person who is specialized in ~,~ka,GIA
草,くさ,grass,kusa,THẢO
講義,こうぎ,a lecture,kougi,GIẢNG NGHĨA
暮れる,くれる,"to get dark, to come to an end",kureru,MỘ
具合,ぐあい,"condition, state, health",guai,CỤ HỢP
空港,くうこう,airport,kuukou,KHÔNG CẢNG
細かい,こまかい,"small; fine, minute",komakai,TẾ
びっくりする,びっくりする,to be surprised,bikkurisuru,
濡れる,ぬれる,to get wet,nureru,NHU
似る,にる,"to resemble, to be similar",niru,TỰ
貿易,ぼうえき,trade,boueki,MẬU DỊCH
深い,ふかい,"deep, profound",fukai,THÂM
～目,～め,"number ~ sequence, ~nd; ~th",~me,MỤC
